#{"t_start": 1733861681.073132, "env_id": "InvertedPendulum-v4"}
r,l,t
1000.0,1000,5465.635802
1000.0,1000,5490.448847
1000.0,1000,5515.639992
1000.0,1000,5534.55395
1000.0,1000,5553.51767
1000.0,1000,5578.94566
1000.0,1000,5600.506133
1000.0,1000,5625.456231
1000.0,1000,5642.932184
1000.0,1000,5661.309772
1000.0,1000,5678.671901
1000.0,1000,5695.896651
1000.0,1000,5713.12692
1000.0,1000,5730.488284
1000.0,1000,5747.734183
1000.0,1000,5765.259071
1000.0,1000,5782.648157
1000.0,1000,5800.268259
1000.0,1000,5817.716817
1000.0,1000,5834.985147
1000.0,1000,5852.270077
1000.0,1000,5870.351408
1000.0,1000,5887.611197
1000.0,1000,5904.853376
140.0,140,5907.224974
630.0,630,5918.322374
1000.0,1000,5935.467134
1000.0,1000,5952.804183
1000.0,1000,5969.907021
1000.0,1000,5987.077736
1000.0,1000,6004.237557
1000.0,1000,6021.574389
1000.0,1000,6038.876014
1000.0,1000,6056.136008
1000.0,1000,6073.425581
1000.0,1000,6090.669862
1000.0,1000,6107.975728
1000.0,1000,6125.09671
1000.0,1000,6142.297644
1000.0,1000,6159.421112
444.0,444,6167.201125
1000.0,1000,6184.613162
1000.0,1000,6201.817445
1000.0,1000,6219.454729
1000.0,1000,6236.796499
1000.0,1000,6254.070086
1000.0,1000,6271.179131
1000.0,1000,6288.421439
1000.0,1000,6305.467882
1000.0,1000,6322.867319
1000.0,1000,6340.220637
1000.0,1000,6357.310143
1000.0,1000,6374.959827
1000.0,1000,6392.821757
1000.0,1000,6410.066128
1000.0,1000,6427.198134
1000.0,1000,6444.555573
1000.0,1000,6461.903882
1000.0,1000,6479.294517
1000.0,1000,6496.697825
1000.0,1000,6514.088282
1000.0,1000,6531.474478
1000.0,1000,6548.701784
1000.0,1000,6566.041062
1000.0,1000,6583.205026
1000.0,1000,6600.368734
1000.0,1000,6617.891915
1000.0,1000,6635.108053
1000.0,1000,6652.388687
1000.0,1000,6669.709157
1000.0,1000,6687.176664
1000.0,1000,6704.247068
1000.0,1000,6721.477366
1000.0,1000,6738.607771
1000.0,1000,6755.749279
1000.0,1000,6772.877971
1000.0,1000,6789.997517
1000.0,1000,6807.196878
1000.0,1000,6824.45185
1000.0,1000,6841.514831
1000.0,1000,6858.648189
1000.0,1000,6875.724042
1000.0,1000,6892.84103
1000.0,1000,6909.895272
1000.0,1000,6927.084804
1000.0,1000,6944.324993
1000.0,1000,6961.80287
1000.0,1000,6979.110357
1000.0,1000,6996.226589
1000.0,1000,7013.435115
1000.0,1000,7030.588875
1000.0,1000,7047.717906
1000.0,1000,7069.166964
1000.0,1000,7106.526492
1000.0,1000,7144.661697
1000.0,1000,7182.356006
4.0,4,7182.51358
503.0,503,7201.315166
1000.0,1000,7238.979854
1000.0,1000,7276.303005
1000.0,1000,7313.774032
1000.0,1000,7350.738903
1000.0,1000,7387.462809
1000.0,1000,7424.449752
1000.0,1000,7461.20342
1000.0,1000,7498.146914
1000.0,1000,7535.03309
1000.0,1000,7572.074321
1000.0,1000,7608.934057
1000.0,1000,7645.971241
1000.0,1000,7682.822722
1000.0,1000,7719.85573
1000.0,1000,7756.88124
1000.0,1000,7793.980977
1000.0,1000,7830.966638
1000.0,1000,7868.377133
1000.0,1000,7905.816079
1000.0,1000,7943.286942
1000.0,1000,7980.628634
1000.0,1000,8018.225565
1000.0,1000,8055.676234
1000.0,1000,8093.297166
1000.0,1000,8130.806668
1000.0,1000,8168.21205
1000.0,1000,8205.522629
1000.0,1000,8243.131644
1000.0,1000,8280.631183
1000.0,1000,8318.033451
1000.0,1000,8355.472549
1000.0,1000,8393.01996
1000.0,1000,8430.359945
1000.0,1000,8467.740762
1000.0,1000,8505.338853
1000.0,1000,8529.027728
1000.0,1000,8545.011431
1000.0,1000,8561.176583
315.0,315,8566.3636
1000.0,1000,8582.414153
1000.0,1000,8598.557498
100.0,100,8600.20937
1000.0,1000,8616.415312
1000.0,1000,8632.575472
1000.0,1000,8648.505716
1000.0,1000,8664.511442
1000.0,1000,8680.709172
1000.0,1000,8696.739259
1000.0,1000,8713.693614
1000.0,1000,8731.617709
1000.0,1000,8749.246119
1000.0,1000,8767.622701
1000.0,1000,8789.431578
1000.0,1000,8808.364217
1000.0,1000,8827.768394
1000.0,1000,8846.690368
1000.0,1000,8864.680241
1000.0,1000,8883.814021
1000.0,1000,8904.253679
1000.0,1000,8924.832559
1000.0,1000,8944.24858
1000.0,1000,8966.49614
1000.0,1000,8985.634146
1000.0,1000,9007.443971
1000.0,1000,9028.423207
1000.0,1000,9046.966515
1000.0,1000,9064.606017
1000.0,1000,9083.546516
1000.0,1000,9108.831033
1000.0,1000,9127.17983
1000.0,1000,9155.451977
1000.0,1000,9187.811309
1000.0,1000,9210.287248
1000.0,1000,9228.840263
